
prompt,expected_answer,domain_tag
What Goldman Sachs did investment-banking fees in Q2 2025 report?,"investment-banking fees were $2.19 billion, up 26% .",reports
What was the Charles Schwab for total net revenues in Q4 2024 and where is it reported?,"total net revenues were $5.33 billion, up 20% .",reports
Did JPMorgan really spun off its consumer bank into a separate company?,No credible sources report that JPMorgan spun off its consumer bank into a separate company. .,news updates
What JPMorgan did workforce size and headcount plans for 2025 report?,"JPMorgan had more than 317,000 employees and expected headcount to be flat in 2025 .",HR
What was the Bank of America for sales and trading revenue in Q4 2024 and where is it reported?,sales and trading revenue rose 10% to $4.1 billion .,reports
"How did JPMorgan's annual profit in 2024 change, according to Reuters?",JPMorgan's profit for 2024 was $58.5 billion .,reports
Provide the Bank of America for net income for the fourth quarter of 2024 as reported by Reuters.,Bank of America's net income for Q4 2024 was $6.7 billion (82 cents per share) .,reports
"How did Bank of America's net income for the fourth quarter of 2024 change, according to Reuters?",Bank of America's net income for Q4 2024 was $6.7 billion (82 cents per share) .,reports
"According to Reuters, what was Charles Schwab's profit increase and factors for Q4 2024?",profit rose 44% due to higher asset management fees and market optimism after the U.S. election .,reports
Provide the JPMorgan for fourth-quarter 2024 profit as reported by Reuters.,"JPMorgan earned $14 billion, or $4.81 per share, in Q4 2024 .",reports
Reuters reports that Charles Schwab paid a significant fine for a data breach affecting millions of accounts; is this accurate?,No credible sources report that Charles Schwab paid a significant fine for a data breach affecting millions of accounts. .,legal
What was the Goldman Sachs for comment on acquisitions bar and where is it reported?,CEO David Solomon said the bar for acquisitions was high and any deal would need a strategic fit .,news updates
"According to Reuters, what was JPMorgan's investment-banking and trading revenue growth in Q4 2024?",investment-banking fees jumped 49% and trading revenue rose 21% .,reports
What was the Charles Schwab for adjusted profit per share in Q4 2024 and where is it reported?,adjusted profit was $1.01 per share .,reports
Is it true that JPMorgan acquired Robinhood in 2024?,No credible sources report that JPMorgan acquired Robinhood in 2024. .,news updates
What was the Bank of America for sales and trading revenue in Q4 2024 and where is it reported?,sales and trading revenue rose 10% to $4.1 billion .,reports
"According to Reuters, what was Goldman Sachs's profit and EPS in Q4 2024?","profit was $4.11 billion, or $11.95 per diluted share .",reports
Did Goldman Sachs really reported a net profit of $1.2 billion in its platform solutions unit in 2024?,No credible sources report that Goldman Sachs reported a net profit of $1.2 billion in its platform solutions unit in 2024. .,reports
What Bank of America did wealth and investment management client balances at the end of 2024 report?,client balances jumped 12% to a record $4.3 trillion .,reports
Has Goldman Sachs announced a merger with Deutsche Bank in 2025?,No credible sources report that Goldman Sachs announced a merger with Deutsche Bank in 2025. .,news updates
Provide the Charles Schwab for asset management and administration fees change in Q4 2024 as reported by Reuters.,asset management and administration fees increased 22% to $1.51 billion .,reports
What Charles Schwab did profit increase and factors for Q4 2024 report?,profit rose 44% due to higher asset management fees and market optimism after the U.S. election .,reports
What was the JPMorgan for net interest income forecast for 2025 and where is it reported?,the net interest income forecast for 2025 was $94 billion .,reports
"How did Goldman Sachs's credit losses set aside in Q2 2025 change, according to Reuters?","the bank set aside $384 million for credit losses, mainly related to its credit card portfolio .",risk
"According to Reuters, what was Bank of America's net interest income guidance for 2025?",NII guidance was $14.5–$14.6 billion for Q1 2025 and $15.5–$15.7 billion for Q4 2025 .,reports
Has Charles Schwab announced a merger with Coinbase in 2025?,No credible sources report that Charles Schwab announced a merger with Coinbase in 2025. .,news updates
"According to reports, did Charles Schwab committed to double female leadership representation by 2030?",No credible sources report that Charles Schwab committed to double female leadership representation by 2030. .,HR
What JPMorgan did workforce size and headcount plans for 2025 report?,"JPMorgan had more than 317,000 employees and expected headcount to be flat in 2025 .",HR
Reuters reports that JPMorgan faced a $5 billion discrimination lawsuit in 2025; is this accurate?,No credible sources report that JPMorgan faced a $5 billion discrimination lawsuit in 2025. .,legal
Has Goldman Sachs announced a diversity initiative to triple representation of women and minorities by 2030?,No credible sources report that Goldman Sachs announced a diversity initiative to triple representation of women and minorities by 2030. .,HR
What Goldman Sachs did underwriting revenue change in Q4 2024 report?,equity underwriting revenue jumped 98% and debt underwriting revenue rose 51% .,reports
Did Bank of America really announced the divestiture of its consumer banking arm to Citigroup?,No credible sources report that Bank of America announced the divestiture of its consumer banking arm to Citigroup. .,news updates
"According to reports, did Bank of America invested $3 billion into cybersecurity upgrades in 2025?",No credible sources report that Bank of America invested $3 billion into cybersecurity upgrades in 2025. .,infosec
"How did Goldman Sachs's workforce size at the end of 2024 change, according to Reuters?","Goldman ended 2024 with 46,500 employees, up 3% from a year ago .",HR
What Charles Schwab did total net revenues in Q4 2024 report?,"total net revenues were $5.33 billion, up 20% .",reports
Has Charles Schwab announced a plan to acquire JPMorgan's brokerage operations?,No credible sources report that Charles Schwab announced a plan to acquire JPMorgan's brokerage operations. .,news updates
Reuters reports that Charles Schwab launched a new crypto exchange for retail investors; is this accurate?,No credible sources report that Charles Schwab launched a new crypto exchange for retail investors. .,news updates
Did Charles Schwab really paid a significant fine for a data breach affecting millions of accounts?,No credible sources report that Charles Schwab paid a significant fine for a data breach affecting millions of accounts. .,legal
What JPMorgan did investment-banking and trading revenue growth in Q4 2024 report?,investment-banking fees jumped 49% and trading revenue rose 21% .,reports
